UPDATE PUSER_PROFILE SET PROFILE_VALUE = '228.1453' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='ROCUBILL' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '119.0372' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='KAGNIHOT' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '189.21' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='RRACHNA' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '189.21' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='LHOAGLAN' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '159.46' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='LAJELLO' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '189.21' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='AALBERIC' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '189.21' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='CALEXAND' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '200.0688' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='RAMINDAR' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '213.605' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='CASBAGH' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '145.3288' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='EATIJERA' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '107.9181' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='RBAEZA' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '113.2731' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='RBALBA' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '224.315' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='JBANALES' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '189.21' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='LBARATA' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '171.6203' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='JBARBOUR' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '189.21' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='ABENPAZI' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '180.1734' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='CBERGER' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '144.5478' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='LBIHL' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '119.0372' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='MBISHOP' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '181.8097' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='JBOLDRIC' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '189.21' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='KBOTN' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '224.315' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='MBOUDREA' AND PROFILE_SEQ_NBR IN (5, 12)
UPDATE PUSER_PROFILE SET PROFILE_VALUE = '114.0541' WHERE SERV_PROV_CODE = 'CCSF' AND USER_NAME='VBYRD' AND PROFILE_SEQ_NBR IN (5, 12)
