RECORDID,RESULT
2021-000060STR,Couldn't link public user. Not a reference contact either
2021-000061STR,Couldn't link public user. Not a reference contact either
2021-000062STR,Couldn't link public user. Not a reference contact either
2021-000063STR,Couldn't link public user. Not a reference contact either
2021-000064STR,Couldn't link public user. Not a reference contact either
2021-000065STR,Couldn't link public user. Not a reference contact either
2021-000066STR,Couldn't link public user. Not a reference contact either
2021-000067STR,Couldn't link public user. Not a reference contact either
2021-000068STR,Couldn't link public user. Not a reference contact either
2021-000069STR,Couldn't link public user. Not a reference contact either
2021-000070STR,Couldn't link public user. Not a reference contact either
2021-000071STR,Couldn't link public user. Not a reference contact either
2021-000073STR,Couldn't link public user. Not a reference contact either
2021-000074STR,Couldn't link public user. Not a reference contact either
2021-000075STR,Couldn't link public user. Not a reference contact either
2021-000076STR,Couldn't link public user. Not a reference contact either
2021-000077STR,Couldn't link public user. Not a reference contact either
2021-000078STR,Couldn't link public user. Not a reference contact either
2021-000079STR,Couldn't link public user. Not a reference contact either
2021-000080STR,Couldn't link public user. Not a reference contact either
2021-000081STR,Couldn't link public user. Not a reference contact either
2021-000082STR,Couldn't link public user. Not a reference contact either
2021-000083STR,Couldn't link public user. Not a reference contact either
2021-000084STR,Couldn't link public user. Not a reference contact either
2021-000085STR,Couldn't link public user. Not a reference contact either
2021-000086STR,Couldn't link public user. Not a reference contact either
2021-000087STR,Couldn't link public user. Not a reference contact either
2021-000088STR,Couldn't link public user. Not a reference contact either
2021-000089STR,Couldn't link public user. Not a reference contact either
2021-000090STR,Couldn't link public user. Not a reference contact either
2021-000091STR,Couldn't link public user. Not a reference contact either
2021-000125STR,Couldn't link public user. Not a reference contact either
2019-017721STR,Couldn't link public user. Not a reference contact either
2019-023008STR,Couldn't link public user. Not a reference contact either
2019-020333STR,Couldn't link public user. Not a reference contact either
2019-020398STR,Couldn't link public user. Not a reference contact either
2019-018144STR,Couldn't link public user. Not a reference contact either
2021-000161STR,linkPublicUserToContact: Found an existing public user: KenHendSF
2021-000163STR,linkPublicUserToContact: Found an existing public user: CleberDeAlencar
2021-000164STR,linkPublicUserToContact: Found an existing public user: gurinderkalra2000@gmail.com
2021-000165STR,linkPublicUserToContact: Found an existing public user: LeonGarciaC
2021-000166STR,linkPublicUserToContact: Found an existing public user: Andie151124thave
2021-000167STR,linkPublicUserToContact: Found an existing public user: wangguanying
2021-000012STR,linkPublicUserToContact: Found an existing public user: asyd52@gmail.com
2021-000013STR,linkPublicUserToContact: Found an existing public user: asyd52@gmail.com
2021-000022STR,linkPublicUserToContact: Found an existing public user: marycho7
2021-000072STR,linkPublicUserToContact: Found an existing public user: jevans7799
2019-021955STR,linkPublicUserToContact: Found an existing public user: RJL294
